Wire,Location,Signal,Destination
0G,CN6-43,DC24V COM (NC),
0G,CN6-44,DC24V COM (NC),
0G,CN6-46,DC24V COM (NC),
0G,CN6-47,DC24V COM (NC),
382,CN6-50,MAGAZINE SPINDLE TOOL DETECTOR,
708B,CN11-1,SSR line pair A,
708A,CN11-2,SSR line pair A return,
710,CN11-3,GEAR SHIFT HIGH,
712,CN11-4,GEAR SHIFT LOW,
713,CN11-5,GEAR SHIFT WORK,
715,CN11-6,SPINDLE BLAST,
716,CN11-7,WORK BLAST,
717,CN11-8,AIR BLAST (CABINET),
742,CN11-9,ARM EXTEND,
261,CN11-10,AIR JET,
205,CN11-11,DUST INHALE ELIMINATE,
236,CN11-12,OIL HOLE FLOOD,
237,CN11-13,OIL HOLE MAGAZINE,
221,CN11-14,MAGAZINE FRONT OIL PUMP,
236,CN11-15,MAGAZINE REAR OIL PUMP,
235,CN11-16,SPINDLE HEAD OIL PUMP,
836,CN11-17,SSR aux,
835,CN11-18,SSR aux,
0G,CN11-19,-COM (NC),
0G,CN11-20,-COM (NC),
