signal_id,cnd_source_pin,factory_wire,bottom_cn_pin,mesa_destination,source_provenance
Y_DRIVE_ENABLE,,,,7i84U-B TB3 OUT1,"N/A 2026-08-10: new signal - interposing relay lands directly at MELDAS DK-427 ENA input, not via BBIA-1 (same reasoning as X_DRIVE_ENABLE)"
Y_DRIVE_FAULT,CN6-27,SER,,MERGED into SERVO_FAULT (IN10),MERGED 2026-08-11 (owner decision AG): no separate per-axis servo alarm exists - CN6-27 SER is one combined line. Retained here only to document that the former Y_DRIVE_FAULT maps to the shared SERVO_FAULT input; 7i84U-A IN11 is now spare
Y_HOME,CN2-16,*DECY,CN2-16,7i84U-B TB3 IN7,RESOLVED 2026-08-10: Dwg 4143075410 pg136 T.U row shows pin -16 under 'Y AXIS ZERO RETURN DECELERATION' (*DECY); BBIA-1 board pinout confirms CN2-16 = wire mnemonic *DECY - matches LS-52 per authority LOCATED note
Y_LIMIT_MINUS,,,,7i84U-B TB3 IN3,NOT INDIVIDUALLY LOCATED 2026-08-10: Dwg 4143075410 pg136 shows -Y OVER TRAVEL (*-LY) with NO connector-box label on the T.U. row (only +Y/CN3-37 and -Z/CN3-38 are individually called out). Needs field trace
Y_LIMIT_PLUS,CN3-37,+LY,CN3-37,7i84U-B TB3 IN2,RESOLVED 2026-08-10: Dwg 4143075410 pg136 explicitly labels T.U CN3-37 = wire mnemonic +LY under '+Y OVER TRAVEL' - matches BBIA-1 board pinout CN3-37='+LY' exactly. Only individually-routed BBIA-1 pin among the six primary axis over-travels found this session (paired with Z_LIMIT_MINUS/CN3-38)
Y_RESOLVER,,,,7i49 P1 Resolver channel RES1,"N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - factory resolver cabling connects the Y servo amp's resolver directly via CNA4, not through CN1-CN12; reused as-is to 7i49"
Z_AXIS_CMD,,,,7i49 P1 Analog TB AOUT1,N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - same reasoning as X_AXIS_CMD
Z_BRAKE_REL_ENABLE,,,,7i84U-A TB3 OUT6,"NOT LOCATED 2026-08-10 (checked further): N1J-L2-201 Z brake release (SOL-201) not identified among transcribed BBIA-1 CN1-CN6/CN11 pins. docs/estop_safety_chain.md describes the Z-brake drop-out as a CABINET-LEVEL hardwired interlock requirement (brake-drop-before-amp-drop, triggered by the same relay contact that requests the amp contactor to drop) rather than a documented existing OEM signal - this looks like a NEW retrofit-designed circuit, not something to trace on the original BBIA-1 pass-through. Needs cabinet-level design/field verification, not a paper trace"
Z_DRIVE_ENABLE,,,,7i84U-B TB3 OUT2,"N/A 2026-08-10: new signal - interposing relay lands directly at MELDAS DK-427 ENA input, not via BBIA-1 (same reasoning as X/Y_DRIVE_ENABLE)"
Z_DRIVE_FAULT,CN6-27,SER,,MERGED into SERVO_FAULT (IN10),MERGED 2026-08-11 (owner decision AG): no separate per-axis servo alarm exists - CN6-27 SER is one combined line. Retained here only to document that the former Z_DRIVE_FAULT maps to the shared SERVO_FAULT input; 7i84U-A IN12 is now spare
Z_HOME,CN1-14,*DECZ,CN1-14,7i84U-B TB3 IN8,RESOLVED 2026-08-10: Dwg 4143075410 pg136 T.U row explicitly labels CN1-14 = wire mnemonic *DECZ under 'Z AXIS ZERO RETURN DECELERATION' - matches BBIA-1 board pinout CN1-14='*DECZ' exactly and LS-62 per authority LOCATED note
Z_LIMIT_MINUS,CN3-38,-LZ,CN3-38,7i84U-B TB3 IN5,RESOLVED 2026-08-10: Dwg 4143075410 pg136 explicitly labels T.U CN3-38 = wire mnemonic -LZ under '-Z OVER TRAVEL' - matches BBIA-1 board pinout CN3-38='-LZ' exactly. Paired with Y_LIMIT_PLUS/CN3-37 as the only two individually-routed axis over-travel pins found this session
Z_LIMIT_PLUS,,,,7i84U-B TB3 IN4,NOT INDIVIDUALLY LOCATED 2026-08-10: Dwg 4143075410 pg136 shows +Z OVER TRAVEL (*+LZ) with NO connector-box label on the T.U. row. Needs field trace
Z_RESOLVER,,,,7i49 P1 Resolver channel RES2,"N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - factory resolver cabling connects the Z servo amp's resolver directly via CNA5, not through CN1-CN12; reused as-is to 7i49"
