plane,signal_id,oem_connector,oem_pin,factory_wire,oem_signal,function,inside_connector,outside_connector,disposition,mesa_card,mesa_connector,mesa_pin_channel,hal_net,authority_status,landing_status,required_verification,source_reference
A,MANUAL_TOOL_UNCLAMP_PB,CN2,3,149,TOOL UNCLAMP (FOOT SW),ATC,7-23,CA4-P,MESA_ROUTE,7i84U-A,TB3,IN9,manual-unclamp-pb,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Commissioning aid; pairs with MANUAL_TOOL_CLAMP_PB on IN30 (TCFS X01B reinstated 2026-08-03 after single-7i84U plan freed pins). | [RECON 2026-08-08 §A: element list confirms X01A TUCFS.M 'MNL TOOL UNCLAMP FS (VQC20)' on 060231] | [RECON 2026-08-08: FOOT switch confirmed (owner + mnemonic TUCFS=Tool UnClamp Foot Switch); BBIA1 wire 149 'TOOL UNCLAMP (FOOT SW)' 7-23] | [LOCATED 2026-08-08: X1A TUCF.M foot switch, wire 149A, T.U CN2-3, Dwg 4143075407 pg133] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_BCD_BIT0,CN2,4,150,MAGAZINE ROT POS 1,ATC,1-40,CA4-X,MESA_ROUTE,7i84U-A,TB2,IN19,mag-bcd-bit0,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-21 line 221 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 1, wire 150, CN2-4/CND2-4 (trusted over pg135 'wire 221' - that wire is BIT1 on the board).] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_BCD_BIT1,CN2,5,221,MAGAZINE ROT POS 2,ATC,1-40,CA4-A,MESA_ROUTE,7i84U-A,TB2,IN20,mag-bcd-bit1,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-22 line 222 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 2, wire 221, CN2-5/CND2-5 (trusted over pg135 'wire 222').] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_BCD_BIT2,CN2,6,222,MAGAZINE ROT POS 4,ATC,1-6,CA4-B,MESA_ROUTE,7i84U-A,TB2,IN21,mag-bcd-bit2,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-23 line 223 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 4, wire 222, CN2-6/CND2-6 (trusted over pg135 'wire 223').] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_BCD_BIT3,CN2,7,223,MAGAZINE ROT POS 8,ATC,1-19,CA4-C,MESA_ROUTE,7i84U-A,TB2,IN22,mag-bcd-bit3,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-24 line 224 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 8, wire 223, CN2-7/CND2-7 (trusted over pg135 'wire 224').] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_BCD_BIT4,CN2,8,224,MAGAZINE ROT POS 10,ATC,7-20,CA4-D,MESA_ROUTE,7i84U-A,TB2,IN23,mag-bcd-bit4,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-25 line 225 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 10, wire 224, CN2-8/CND2-8 (trusted over pg135 'wire 225'). NB: the field PRS-nn labels are pg135 PLC-side identities and may not match the board bit order - physical wire label is final.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_IN_POS,CN2,9,225,MAGAZINE POSITION OK,ATC,7-21,CA4-E,MESA_ROUTE,7i84U-A,TB2,IN28,mag-in-pos,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Mandatory for magazine indexing (rungs 3401/33xx). Writer added in field_7i84u.hal (net mag-in-pos <= input-28) on 2026-08-06. Verify prox type/polarity before commissioning. | [RECON 2026-08-08 CONFIRMED: MAG_IN_POS = PRS-13 MIPRS 'MAGAZINE INPOSITION' wire 213 X0D, Dwg 4143075409 pg135. In-position strobe; tool-# bits are PRS-21..25 (711P/712P/714P/718P/721P). Supersedes prior 'PRS-13=tool bit'.] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE POSITION OK, wire 225, CN2-9/CND2-9 (trusted). pg135 read the in-position prox as PRS-13/wire 213, but wire 213 appears in the BBIA-1 pinout only as the CN11-5 GEAR SHIFT LOW output, not on the CN2 input bank; POSITION OK is 225/CN2-9. PLC-side prox remains PRS-13/X00D.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,,CN2,10,218,MAGAZINE POWER OPEN,ATC,4-14,CA4-F,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,MAG_COVER_OPEN_CONF,CN2,11,218,MAGAZINE COVER OPEN,ATC,4-14,CA4-G,MESA_ROUTE,7i84U-A,TB3,IN6,mag-cover-open-conf,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Pairs with NET_MAG_COVER_OPEN/CLOSE solenoids; locate RS on cover | [RECON 2026-08-08 §A/§F: X052 MGCORS + RS-18 line 218 (Dwg 4143075409) confirm on 060231] | [LOCATED 2026-08-08: RS-18 wire 218 MGCORS X52, Dwg 4143075409 pg135] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_COVER_CLOSE_CONF,CN2,12,219,MAGAZINE COVER CLOSE,ATC,4-15,CA4-H,MESA_ROUTE,7i84U-A,TB3,IN7,mag-cover-closed-conf,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"Interlock magazine rotation on cover closed | [RECON 2026-08-08 §A/§F: X053 MGCCRS + RS-19 line 219 (Dwg 4143075409) confirm on 060231] | [LOCATED 2026-08-08: RS-19 wire 219 MGCCRS X53, Dwg 4143075409 pg135] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,MAG_TOOL_AVAILABLE,CN2,13,381,LUBE TIMER,lube,CN6-37,CA4-K,MESA_ROUTE,7i84U-A,TB3,IN2,mag-tool-avail,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,HAL net bound in atc_orient.hal | [RECON 2026-08-08 §F: PHS-181 line 381 (settles PHS-127 vs 181) confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,,CN2,14,+LTZ,Z-AXIS OVER TRAVEL,limit,CNB-12,CA4-L,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,X_HOME,CN2,15,*DECX,X-AXIS ZERO RETURN DEC,homing,1-13,CA4-T,MESA_ROUTE,7i84U-B,TB3,IN6,home-x,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"NO contact; was ACCEPTED_VERIFY - promote to TRACED after physical continuity + fail-open test | [LOCATED 2026-08-09: LS-42 X zero-return decel, X28 *DECX wire 1-16 (home reference), Dwg 4143075410 (Motion Switch Input 4) pg136 + pg91] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/homing_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,Y_HOME,CN2,16,*DECY,Y-AXIS ZERO RETURN DEC,homing,1-17,CA4-U,MESA_ROUTE,7i84U-B,TB3,IN7,home-y,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,"NO contact; was ACCEPTED_VERIFY - promote to TRACED after physical continuity + fail-open test | [LOCATED 2026-08-09: LS-52 Y zero-return decel, X29 *DECY wire 1-17 (home reference), Dwg 4143075410 (Motion Switch Input 4) pg136; LS digit faded - verify] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/homing_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,,CN2,17,0G,DC24V COM (-) NC,common,,CA4-M,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,18,0G,DC24V COM (-),common,,CA4-N,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,19,0G,DC24V COM (-),common,,CA4-S,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,20,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,21,P24,DC24V +COM (MACHINE),power,CN6-21,CA4-T,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,22,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,23,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,24,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,25,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,26,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,27,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,28,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,29,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,30,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,31,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,32,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,33,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,34,342,TOOL MEASURE DEVICE TIMER,probe,CNQ-34,CA4-J,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,35,345,TOOL MEASURE DEVICE SW,probe,1-8,CA4-K,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,36,362,MAGAZINE LUBE TIMER,lube,2-13,CA4-L,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,37,239,MAGAZINE LUBE PRESS SW,lube,2-14,CA4-M,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,DOOR_INTERLOCK,CN2,38,238,MACHINE DOOR INTERLOCK,safety,CN6-23,CA4-N,MESA_ROUTE,7i84U-A,TB2,IN24,door-interlock,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,Series-wired 2026-08-03: X01D ITMDSS consolidated with LS-140/141 pair. Choose door-open versus door-closed net after normal state is measured. | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,,CN2,39,340,SPARE INPUT 2,spare,2-24,CA4-S,OEM_SPARE_CONDUCTOR,none,none,none,none,UNALLOCATED,OEM_SPARE_CONDUCTOR,A factory spare conductor exists; insulate and preserve its identity unless a reviewed revision deliberately repurposes it.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,40,EMB,EMERGENCY STOP,safety,CN5-4,CA4-a,OEM_SAFETY_RETAIN,none,none,none,none,UNALLOCATED,OEM_SAFETY_RETAIN,Retain in the untouched OEM safety circuit; no Mesa GPIO route.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,41,EMC,EMG STOP 2nd,safety,,CA4-b,OEM_SAFETY_RETAIN,none,none,none,none,UNALLOCATED,OEM_SAFETY_RETAIN,Retain in the untouched OEM safety circuit; no Mesa GPIO route.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,42,382,SPINDLE TOOL CLAMP OK,spindle,CN6-50,CA4-f,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,43,524,DC24V SELECTOR (X Y Z 4 5 6),selector,CNB-5,CA4-,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,MANUAL_TOOL_CLAMP_PB,CN2,44,149B,FOOT SWITCH,operator,1-38,CA4-R,MESA_ROUTE,7i84U-A,TB2,IN30,none,RESERVED,HOLD_RESERVED,"Reserved terminal; intentionally HAL-unbound until the switch and safe manual-clamp behavior are field verified. Pairs with MANUAL_TOOL_UNCLAMP_PB on IN9. | [LOCATED 2026-08-08: X1B TCCF.M foot switch, wire 149B, T.U CN2-44, Dwg 4143075407 pg133] | [2026-08-09: RESERVED, hal_net none (was manual-clamp-pb) - manual clamp deferred per io_capacity_reconciliation.md; restore net when switch behavior is field-verified] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]","41434WB PDF p84, dwg 4143075321"
A,,CN2,45,CP24,FEED HOLD SW (LATCH),operator,4-3,CA4-H,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,46,SP29,SPARE OUTPUT,spare,4-4,CA4-j,OEM_SPARE_CONDUCTOR,none,none,none,none,UNALLOCATED,OEM_SPARE_CONDUCTOR,A factory spare conductor exists; insulate and preserve its identity unless a reviewed revision deliberately repurposes it.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,47,SP30,SPARE OUTPUT,spare,3-23,CA4-k,OEM_SPARE_CONDUCTOR,none,none,none,none,UNALLOCATED,OEM_SPARE_CONDUCTOR,A factory spare conductor exists; insulate and preserve its identity unless a reviewed revision deliberately repurposes it.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,48,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,49,+24V,DC24V +COM (NC),power,,CA4-N,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,50,+24V,DC24V +COM (NC),power,,CA4-P,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p84, dwg 4143075321"
A,TOOL_UNCLAMP_CONF,CN1,1,208,TOOL UNCLAMP,MC output,CNQ-29,CA3-A,MESA_ROUTE,7i84U-A,TB2,IN16,tool-unclamped,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,RESOLVED - field_7i84u.hal binds tool-unclamped to input-16 | [RECON 2026-08-08 §F: PRS-8 line 208 TUCPRS confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,TOOL_CLAMP_CONF,CN1,2,209,TOOL CLAMP,MC output,1-24,CA3-B,MESA_ROUTE,7i84U-A,TB3,IN15,tool-clamped,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,RESOLVED - field_7i84u.hal binds tool-clamped to input-15 | [RECON 2026-08-08 §F: PRS-9 line 209 TCPRS confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,GEAR_HI_CONF,CN1,3,210,HIGH GEAR,gear,4-16,CA3-C,MESA_ROUTE,7i84U-A,TB2,IN17,gear-hi-conf,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,HAL net bound in atc_orient.hal | [RECON 2026-08-08 §F: PRS-10 line 210 HGPRS = HIGH gear confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/orient_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,GEAR_LO_CONF,CN1,4,212,LOW GEAR,gear,4-17,CA3-D,MESA_ROUTE,7i84U-A,TB2,IN18,gear-lo-conf,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,HAL net bound in atc_orient.hal | [RECON 2026-08-08 §F: PRS-12 line 212 LGPRS = LOW gear confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/orient_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,COOLANT_LOW,CN1,5,232,2nd-S LEVEL,coolant lvl,CN6-13,CA3-L,MESA_ROUTE,7i84U-A,TB2,IN26,coolant-low,FACTORY_INTERFACE,ROUTE_DEFINED_FIELD_VERIFY,Net name follows HAL (polarity assumption: low = warning). Verify normal-state polarity in cabinet before promoting. | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md],"41434WB PDF p84, dwg 4143075321"
A,,CN1,6,233,HEAD LUBE PRESSURE,lube,CN6-39,CA3-E,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
