ID,From,To,From Label,To Label,Wire,Signal,Status,Subsystem,Diagram
A-266,CN4 pin 16,TB3 IN4,set A,spindle-oriented,SETA,SPINDLE_ORIENT_ARRIVAL,FACTORY_INTERFACE,spindle,Plane A
A-268,CN4 pin 18,P3 TBD: 23/24 (GND3/AOUT3),SPEED REFERENCE 1,spindle-speed-cmd,SE1,SPINDLE_SPEED_SE1,HOLD_ANALOG_ROLE,spindle,Plane A
A-269,CN4 pin 19,P3 TBD: 23/24 (GND3/AOUT3),SPEED REFERENCE 2,spindle-speed-cmd,SE2,SPINDLE_SPEED_SE2,HOLD_ANALOG_ROLE,spindle,Plane A
B-001,CNA3 pin 12,P4 pin 2,Resolver exciter SIN,RESSIN0+,A,X_RES_SIN_POS,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-002,CNA3 pin 13,P4 pin 1,Resolver exciter SIN,RESSIN0-,B,X_RES_SIN_NEG,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-003,CNA3 pin 14,P4 pin 4,Resolver exciter COS,RESCOS0+,F,X_RES_COS_POS,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-004,CNA3 pin 15,P4 pin 3,Resolver exciter COS,RESCOS0-,G,X_RES_COS_NEG,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-005,CNA3 pin 16,P4 pin 7,Resolver output,RESDRV0+,H,X_RES_DRV_POS,PROPOSED_PHASE_VERIFY,Resolver excitation,Plane B
B-006,CNA3 pin 17,P4 pin 6,Resolver output,RESDRV0-,J,X_RES_DRV_NEG,PROPOSED_PHASE_VERIFY,Resolver excitation,Plane B
B-007,CNA3 pin 20,none pin none,Sealed ground,none,N,X_RES_CASE_GND,HOLD_SHIELD_TOPOLOGY,Resolver shield,Plane B
B-008,new cable pin three pair drains,P4 pin 5 or 8,RESDRV/RESSIN/RESCOS shields,GND,,X_RES_PAIR_SHIELDS,DESIGN_CONFIRMED_FIELD_PENDING,Resolver shield,Plane B
B-009,CNA4 pin 12,P4 pin 10,Resolver exciter SIN,RESSIN1+,A,Y_RES_SIN_POS,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-010,CNA4 pin 13,P4 pin 9,Resolver exciter SIN,RESSIN1-,B,Y_RES_SIN_NEG,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-011,CNA4 pin 14,P4 pin 12,Resolver exciter COS,RESCOS1+,F,Y_RES_COS_POS,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-012,CNA4 pin 15,P4 pin 11,Resolver exciter COS,RESCOS1-,G,Y_RES_COS_NEG,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-013,CNA4 pin 16,P4 pin 15,Resolver output,RESDRV1+,H,Y_RES_DRV_POS,PROPOSED_PHASE_VERIFY,Resolver excitation,Plane B
B-014,CNA4 pin 17,P4 pin 14,Resolver output,RESDRV1-,J,Y_RES_DRV_NEG,PROPOSED_PHASE_VERIFY,Resolver excitation,Plane B
B-015,CNA4 pin 20,none pin none,Sealed ground,none,N,Y_RES_CASE_GND,HOLD_SHIELD_TOPOLOGY,Resolver shield,Plane B
B-016,new cable pin three pair drains,P4 pin 13 or 16,RESDRV/RESSIN/RESCOS shields,GND,,Y_RES_PAIR_SHIELDS,DESIGN_CONFIRMED_FIELD_PENDING,Resolver shield,Plane B
B-017,CNA5 pin 12,P3 pin 2,Resolver exciter SIN,RESSIN2+,A,Z_RES_SIN_POS,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-018,CNA5 pin 13,P3 pin 1,Resolver exciter SIN,RESSIN2-,B,Z_RES_SIN_NEG,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-019,CNA5 pin 14,P3 pin 4,Resolver exciter COS,RESCOS2+,F,Z_RES_COS_POS,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-020,CNA5 pin 15,P3 pin 3,Resolver exciter COS,RESCOS2-,G,Z_RES_COS_NEG,PROPOSED_PHASE_VERIFY,Resolver feedback,Plane B
B-021,CNA5 pin 16,P3 pin 7,Resolver output,RESDRV2+,H,Z_RES_DRV_POS,PROPOSED_PHASE_VERIFY,Resolver excitation,Plane B
B-022,CNA5 pin 17,P3 pin 6,Resolver output,RESDRV2-,J,Z_RES_DRV_NEG,PROPOSED_PHASE_VERIFY,Resolver excitation,Plane B
B-023,CNA5 pin 20,none pin none,Sealed ground,none,N,Z_RES_CASE_GND,HOLD_SHIELD_TOPOLOGY,Resolver shield,Plane B
B-024,new cable pin three pair drains,P3 pin 5 or 8,RESDRV/RESSIN/RESCOS shields,GND,,Z_RES_PAIR_SHIELDS,DESIGN_CONFIRMED_FIELD_PENDING,Resolver shield,Plane B
B-025,TBD pin TBD,P4 pin 20,DK-427 X command input positive,AOUT0,,X_AXIS_CMD_POS,HOLD_SOURCE_TRACE,Axis velocity command,Plane B
B-026,TBD pin TBD,P4 pin 19,DK-427 X command common,GND0,,X_AXIS_CMD_RETURN,HOLD_SOURCE_TRACE,Axis velocity command,Plane B
B-027,TBD pin TBD,P4 pin 24,DK-427 Z command input positive,AOUT1,,Z_AXIS_CMD_POS,HOLD_SOURCE_TRACE,Axis velocity command,Plane B
B-028,TBD pin TBD,P4 pin 23,DK-427 Z command common,GND1,,Z_AXIS_CMD_RETURN,HOLD_SOURCE_TRACE,Axis velocity command,Plane B
B-029,TBD pin TBD,P3 pin 20,DK-427 Y command input positive,AOUT2,,Y_AXIS_CMD_POS,HOLD_SOURCE_TRACE,Axis velocity command,Plane B
B-030,TBD pin TBD,P3 pin 19,DK-427 Y command common,GND2,,Y_AXIS_CMD_RETURN,HOLD_SOURCE_TRACE,Axis velocity command,Plane B
B-031,CNA10 pin 4,none pin none,Spindle load high,none,,CNA10_SPINDLE_LOAD_HI,RETAIN_OR_RETIRE_DECISION,Legacy load display,Plane B
B-032,CNA10 pin 8,none pin none,Spindle load low,none,,CNA10_SPINDLE_LOAD_LO,RETAIN_OR_RETIRE_DECISION,Legacy load display,Plane B
B-033,CNA10 pin 11,none pin none,Z-axis load high,none,,CNA10_Z_LOAD_HI,RETAIN_OR_RETIRE_DECISION,Legacy load display,Plane B
B-034,CNA10 pin 17,none pin none,Z-axis load low,none,,CNA10_Z_LOAD_LO,RETAIN_OR_RETIRE_DECISION,Legacy load display,Plane B
B-035,CNA10 pin 20,none pin none,Load-meter common,none,,CNA10_COMMON,RETAIN_OR_RETIRE_DECISION,Legacy load display,Plane B
B-036,CN4 pin 18,P3 pin TBD within 23/24,SE1,AOUT3/GND3,,SPINDLE_SPEED_SE1,HOLD_ANALOG_ROLE,Spindle speed reference,Plane B
B-037,CN4 pin 19,P3 pin TBD within 23/24,SE2,AOUT3/GND3,,SPINDLE_SPEED_SE2,HOLD_ANALOG_ROLE,Spindle speed reference,Plane B
B-038,CN4 pin 20,none pin none,SE3 / AGA,none,,SPINDLE_SPEED_SE3,HOLD_SHIELD_OR_COMMON,Spindle speed reference,Plane B
