plane,signal_id,subsystem,oem_connector,oem_pin,oem_signal,oem_lead,mesa_card,mesa_connector,mesa_pin,mesa_signal,route_status,required_verification,source_reference
B,X_AXIS_CMD_POS,Axis velocity command,TBD,TBD,DK-427 X command input positive,,7i49,P4,20,AOUT0,HOLD_SOURCE_TRACE,"Continuity trace removed NC command pair to the X DK-427 input; identify exact connector and polarity before landing","41434WB p128 dwg 4143075404 shows drive topology but not the NC command landing; 7i49man.pdf printed p5"
B,X_AXIS_CMD_RETURN,Axis velocity command,TBD,TBD,DK-427 X command common,,7i49,P4,19,GND0,HOLD_SOURCE_TRACE,"Continuity trace removed NC command pair to the X DK-427 input; prove isolated common and shield topology","41434WB p128 dwg 4143075404 shows drive topology but not the NC command landing; 7i49man.pdf printed p5"
B,Z_AXIS_CMD_POS,Axis velocity command,TBD,TBD,DK-427 Z command input positive,,7i49,P4,24,AOUT1,HOLD_SOURCE_TRACE,"Continuity trace removed NC command pair to the Z DK-427 input; identify exact connector and polarity before landing","41434WB p128 dwg 4143075404 shows drive topology but not the NC command landing; 7i49man.pdf printed p5"
B,Z_AXIS_CMD_RETURN,Axis velocity command,TBD,TBD,DK-427 Z command common,,7i49,P4,23,GND1,HOLD_SOURCE_TRACE,"Continuity trace removed NC command pair to the Z DK-427 input; prove isolated common and shield topology","41434WB p128 dwg 4143075404 shows drive topology but not the NC command landing; 7i49man.pdf printed p5"
B,Y_AXIS_CMD_POS,Axis velocity command,TBD,TBD,DK-427 Y command input positive,,7i49,P3,20,AOUT2,HOLD_SOURCE_TRACE,"Continuity trace removed NC command pair to the Y DK-427 input; identify exact connector and polarity before landing","41434WB p128 dwg 4143075404 shows drive topology but not the NC command landing; 7i49man.pdf printed p6"
B,Y_AXIS_CMD_RETURN,Axis velocity command,TBD,TBD,DK-427 Y command common,,7i49,P3,19,GND2,HOLD_SOURCE_TRACE,"Continuity trace removed NC command pair to the Y DK-427 input; prove isolated common and shield topology","41434WB p128 dwg 4143075404 shows drive topology but not the NC command landing; 7i49man.pdf printed p6"
B,CNA10_SPINDLE_LOAD_HI,Legacy load display,CNA10,4,Spindle load high,,none,none,none,none,RETAIN_OR_RETIRE_DECISION,"No Mesa route allocated; decide whether the CRT load meter is retained before removing the NC rack","41434WB p127 dwg 4143075403 sheet 3"
B,CNA10_SPINDLE_LOAD_LO,Legacy load display,CNA10,8,Spindle load low,,none,none,none,none,RETAIN_OR_RETIRE_DECISION,"No Mesa route allocated; decide whether the CRT load meter is retained before removing the NC rack","41434WB p127 dwg 4143075403 sheet 3"
B,CNA10_Z_LOAD_HI,Legacy load display,CNA10,11,Z-axis load high,,none,none,none,none,RETAIN_OR_RETIRE_DECISION,"No Mesa route allocated; decide whether the CRT load meter is retained before removing the NC rack","41434WB p127 dwg 4143075403 sheet 3; reference sheet 04 is p128"
B,CNA10_Z_LOAD_LO,Legacy load display,CNA10,17,Z-axis load low,,none,none,none,none,RETAIN_OR_RETIRE_DECISION,"No Mesa route allocated; decide whether the CRT load meter is retained before removing the NC rack","41434WB p127 dwg 4143075403 sheet 3; reference sheet 04 is p128"
B,CNA10_COMMON,Legacy load display,CNA10,20,Load-meter common,,none,none,none,none,RETAIN_OR_RETIRE_DECISION,"Confirm whether pin 20 is common for both meter channels before retaining the display","41434WB p127 dwg 4143075403 sheet 3"
A,SPINDLE_SPEED_SE1,Spindle speed reference,CN4,18,SE1,,7i49,P3,TBD within 23/24,AOUT3/GND3,HOLD_ANALOG_ROLE,"Determine which of SE1/SE2 is command and common from the FR-SX manual or a powered-disabled measurement; do not guess","41434WB p84 dwg 4143075321; p127 dwg 4143075403; 7i49man.pdf printed p6"
A,SPINDLE_SPEED_SE2,Spindle speed reference,CN4,19,SE2,,7i49,P3,TBD within 23/24,AOUT3/GND3,HOLD_ANALOG_ROLE,"Determine which of SE1/SE2 is command and common from the FR-SX manual or a powered-disabled measurement; do not guess","41434WB p84 dwg 4143075321; p127 dwg 4143075403; 7i49man.pdf printed p6"
A,SPINDLE_SPEED_SE3,Spindle speed reference,CN4,20,SE3 / AGA,,none,none,none,none,HOLD_SHIELD_OR_COMMON,"Drawing ties CON1-30 SE3 to AGA; establish whether this is shield or analog common before termination","41434WB p84 dwg 4143075321; p127 dwg 4143075403"
