plane,section,signal,oem_pin,wire_lead,mesa,status,notes
A,Gear/Coolant/Hydraulic/Safety,AIR_BLAST,CN11-6,215,7i84U-B TB3 OUT3,MESA_ROUTE,
A,Gear/Coolant/Hydraulic/Safety,WORK_AIR_BLAST,CN11-7,216,7i84U-B TB3 OUT4,MESA_ROUTE,
A,Gear/Coolant/Hydraulic/Safety,LUBE_OK,CN6-39,355,7i84U-A TB2 IN25,MESA_ROUTE,
A,Gear/Coolant/Hydraulic/Safety,COOLANT_LOW,,,7i84U-A TB2 IN26,DEFERRED,Retracted 2026-09-02: CN1-5 is -LZ2 2nd -Z over-travel (sec 7.5); tank-float conductor unlocated
A,Gear/Coolant/Hydraulic/Safety,DOOR_INTERLOCK,CN2-38,341,7i84U-A TB2 IN24,MESA_ROUTE,Wire corrected 238 -> 341 (sec 7.5)
A,Gear/Coolant/Hydraulic/Safety,THERMAL_ALARM_CHAIN,CN5-1,144,7i84U-A TB3 IN8,MESA_ROUTE,
A,Gear/Coolant/Hydraulic/Safety,SERVO_READY,CN6-7,SA,7i84U-A TB2 IN31,MESA_ROUTE,
A,Gear/Coolant/Hydraulic/Safety,SERVO_FAULT,,,7i84U-A TB3 IN10,DEFERRED,Retracted 2026-09-02: CN6-27 is SFR SPINDLE FORWARD (sec 7.5); re-derive combined alarm at the HD amps
A,Gear/Coolant/Hydraulic/Safety,WORK_LIGHT,CN6-8,WL,7i84U-B TB2 OUT9,MESA_ROUTE,
A,Gear/Coolant/Hydraulic/Safety,PROBE (Renishaw),CN200-3,MMS SKIP,7i84U-B TB3 IN15,RESERVED,Probe out of scope 2026-08-21 (owner decision); TB3 IN15 spare
A,New signals (not original BBIA pass-through),X_DRIVE_ENABLE,,,7i84U-B TB3 OUT0,NEW,Interposing relay to DK-427 ENA
A,New signals (not original BBIA pass-through),Y_DRIVE_ENABLE,,,7i84U-B TB3 OUT1,NEW,Interposing relay to DK-427 ENA
A,New signals (not original BBIA pass-through),Z_DRIVE_ENABLE,,,7i84U-B TB3 OUT2,NEW,Interposing relay to DK-427 ENA
A,New signals (not original BBIA pass-through),SPINDLE_ENABLE,,,HAL logical,NEW,Combined gate not a physical wire
