Label_Text,Wire,Old_Location,Signal,Mesa_Card,Connector,Logical_Channel,Physical_Pin,Authority_ID,Authority_Status,Crosswalk_Status,Release_Status
A-TB3-22,CTL,CN3-15,LOW GEAR SHIFT,7i84U-A,TB3,OUT5,TB3-22,SPINDLE_ORIENT_LOGEAR,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-03,+LY,CN3-37,+Y OVER TRAVEL,7i84U-B,TB3,IN2,TB3-03,Y_LIMIT_PLUS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-06,-LZ,CN3-38,-Z OVER TRAVEL,7i84U-B,TB3,IN5,TB3-06,Z_LIMIT_MINUS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-06,ZS1,CN4-1,SPINDLE ZERO SPEED,7i84U-A,TB3,IN5,TB3-06,SPINDLE_ZERO_SPEED,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_DISPUTED_PIN
A-TB3-15,FA,CN4-3,SPINDLE CONTROLLER NORMAL,7i84U-A,TB3,IN14,TB3-15,SPINDLE_FAULT,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-17,SRN,CN4-9,SPINDLE FORWARD,7i84U-A,TB3,OUT0,TB3-17,SPINDLE_FWD,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-18,SRI,CN4-10,SPINDLE REVERSE,7i84U-A,TB3,OUT1,TB3-18,SPINDLE_REV,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-05,ORA1,CN4-16,SPINDLE ORIENT ARRIVAL,7i84U-A,TB3,IN4,TB3-05,SPINDLE_ORIENT_ARRIVAL,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-09,144,CN5-1,THERMAL TRIP PROTECTOR,7i84U-A,TB3,IN8,TB3-09,THERMAL_ALARM_CHAIN,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-16,SA,CN6-7,SERVO READY,7i84U-A,TB2,IN31,TB2-16,SERVO_READY,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB2-18,WL,CN6-8,WORK LIGHT,7i84U-B,TB2,OUT9,TB2-18,WORK_LIGHT,RESERVED,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-10,355,CN6-39,HEAD LUBE PRESSURE,7i84U-A,TB2,IN25,TB2-10,LUBE_OK,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-04,382,CN6-50,SPINDLE TOOL DETECTOR,7i84U-A,TB3,IN3,TB3-04,SPINDLE_TOOL_AVAILABLE,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-19,710,CN11-3,TOOL UNCLAMP,7i84U-A,TB2,OUT10,TB2-19,TOOL_UNCLAMP_SOL,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-24,712,CN11-4,GEAR SHIFT HIGH,7i84U-A,TB3,OUT7,TB3-24,GEAR_HI_SOL,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-17,713,CN11-5,GEAR SHIFT LOW,7i84U-A,TB2,OUT8,TB2-17,GEAR_LO_SOL,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-20,715,CN11-6,SPINDLE AIR BLAST,7i84U-B,TB3,OUT3,TB3-20,AIR_BLAST,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-21,716,CN11-7,WORK AIR BLAST,7i84U-B,TB3,OUT4,TB3-21,WORK_AIR_BLAST,RESERVED,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-24,731,CN11-13,FLOOD COOLANT,7i84U-B,TB3,OUT7,TB3-24,FLOOD_VALVE,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-20,736,CN11-15,FLOOD COOLANT MOTOR STARTER (p85 reads 736; p140/p78 read 836 - jacket read decides),7i84U-A,TB2,OUT11,TB2-20,COOLANT_ON,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-20,835,CN11-16,HYDR. PUMP HEAD LUBE PUMP,7i84U-A,TB3,OUT3,TB3-20,HYD_PUMP_ON,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
