type,address,symbol,comment,category,disposition,dashboard_id,match,match_note,m2v_twin,ladder_page
X,X08C,EXFHD.M,EXTERNAL FEED HOLD,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,5
X,X08D,EXSBK.M,EXTERNAL SINGLE BLOCK,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,5
X,X100,ZPX1.N,ZERO 1 POSITION X NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X101,ZPY1.N,ZERO 1 POSITION Y NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X102,ZPZ1.N,ZERO 1 POSITION Z NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X103,ZP41.N,ZERO 1 POSITION 4 NC,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,5
X,X108,ZPX2.N,ZERO 2 POSITION X NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X109,ZPY2.N,ZERO 2 POSITION Y NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X10A,ZPZ2.N,ZERO 2 POSITION Z NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X111,STL.N,CYCLE START LAMP NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X112,SPL.N,FEED HOLD LAMP NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X113,DEN.N,DISTRIBUTION END SIGNAL1,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,5
X,X114,DEN2.N,DISTRIBUTION END SIGNAL2,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X118,MA.N,NC READY,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X119,SA.N,SERVO READY,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X11A,RST.N,RESET NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X120,MF.N,M FUNCTION STROBE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X121,SF.N,S FUNCTION STROBE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X122,TF.N,T FUNCTION STROBE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X123,BF.N,B FUNCTION STROBE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X128,M11.N,M BCD 11,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X129,M12.N,M BCD 12,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X12A,M14.N,M BCD 14,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X12B,M18.N,M BCD 18,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X12C,M21.N,M BCD 21,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X12D,M22.N,M BCD 22,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X12E,M24.N,M BCD 24,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X12F,M28.N,M BCD 28,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X158,SSP.N,SPINDLE STOP,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X159,TOUCH.N,TOUCH TOOL,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X15A,TAP.N,TAPPING CYCLE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X15B,DIHT.N,DUST IN HOLE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,6
X,X15C,MC4.N,4 AXIS MOTION COMMAND,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,7
X,X15D,AEXT.N,MEASURING ARM EXTEND COM.,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,7
X,X15E,ARET.N,MEASURING ARM RETRACT COM.,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,7
X,X15F,REQ.N,PALLET CHANGE REQUEST NC,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,7
X,X160,M31.N,M BCD 31,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X161,M32.N,M BCD 32,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X162,M34.N,M BCD 34,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X163,M38.N,M BCD 38,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X180,AUT.N,AUTO MODE STATUS,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X181,MDI.N,MDI MODE STATUS,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X182,RT.N,RAPID TRAVERSE STATUS,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X183,J.N,JOG STATUS,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X184,ZP1.N,ZERO POSITION #1 RETURN,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X185,ZP2.N,ZERO POSITION #2 RETURN,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X186,HS1.N,HANDLE/STEP #1,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X187,HS10.N,HANDLE/STEP #10,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X188,MG.N,MAGAZIN SELECT,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X189,INTF.N,INTERF. SP. TOOL LENG. 1,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X18A,INTF2.N,INTERF. SP. TOOL LENG. 2,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X18B,TLOVR.N,TOOL LIFE OVER,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,7
X,X18C,ALTBK.N,ALARM TOOL BREAKAGE NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X18D,TBKG.N,TOOL BREAKAGE,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X18E,TBRFIN.N,TOOL BREAKAGE FIN NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X18F,MIRR.N,MIRROR IMAGE MODE,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,8
X,X190,SMZX.N,SMOOTHING ZERO X,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X191,SMZY.N,SMOOTHING ZERO Y,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X192,SMZZ.N,SMOOTHING ZERO Z,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X193,SMZ4.N,SMOOTHING ZERO 4,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,8
X,X19B,PGEND.N,[ILLEGIBLE],NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,8
X,X19D,EIA.N,[ILLEGIBLE],OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,8
X,X19F,,[ILLEGIBLE],UNKNOWN,illegible in source — re-read ladder.pdf page 8,,,,,8
X,X1D2,FPIT.N,FMS PALLET INTERLOCK,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,8
X,X1D4,FIRN.N,FMS ZERO RETURN,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,8
X,X1D5,FCST.N,FMS CYCLE START,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,8
X,X1D6,FESP.N,FMS EMERGENCY STOP,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,8
X,X1D7,FSBK.N,FMS SINGLE BLOCK,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,8
X,X1E0,IHST.N,FMS INHIBIT CYCLE START,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,8
X,X0C0,RST.B,RESET PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,8
X,X0C1,SOVRU.B,SPINDLE OVERRIDE UP PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,8
X,X0C2,SOVRD.B,SPINDLE OVERRIDE DOWN P8,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,8
X,X0C3,FOVRU.B,FEED RATE OVERRIDE UP PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0C4,FOVRD.B,FEED RATE OVERRIDE DOWN PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0C5,OTR.B,OVER TRAVEL REVERSE PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0C8,+X.B,AXIS SELECT +X PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0C9,-X.B,AXIS SELECT -X PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0CA,+Y.B,AXIS SELECT +Y PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0CB,-Y.B,AXIS SELECT -Y PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0CC,+Z.B,AXIS SELECT +Z PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0CD,-Z.B,AXIS SELECT -Z PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0CE,+4.B,AXIS SELECT +4 PB,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,9
X,X0CF,-4.B,AXIS SELECT -4 PB,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,9
X,X0D0,AUT.B,AUTO MODE SELECT PB,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,9
X,X0D1,MDI.B,MDI MODE SELECT PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D2,RT.B,RAPID TRAVEL MODE SELECT PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D3,J.B,JIG MODE SELECT PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D4,ZP1.B,ZERO POSITION 1 RETURN PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D5,ZP2.B,ZERO POSITION 2 RETURN PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D6,HS1.B,HANDLE/STEP #1 PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D7,HS10.B,HANDLE/STEP #10 PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,9
X,X0D8,CST.B,CYCLE START PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,CYCLE_START_PB,direct,panel pushbutton,,9
X,X0D9,FHD.B,FEED HOLD PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,FEED_HOLD_PB,direct,panel pushbutton,,10
X,X0DA,ZP.B,ZERO POSITION RETURN PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0DB,TPS.B,TOOL PASS PB,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,10
X,X0DC,VFC.B,VELOCITY FEED RATE CONTROL PB,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,10
X,X0DE,RDEC.B,RAPID TRAVERSE DEC. PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0E0,SST.B,SPINDLE START PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0E1,SSP.B,SPINDLE STOP PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0E2,SJOG.B,SPINDLE JOG PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0E3,SREV.B,SPINDLE REVERSE PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0E8,ATCSP.B,ATC STOP COMMAND PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0E9,CL.B,COOLANT CHOICE PB,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0EA,F1.B,FUNCTION KEY NO.1,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0EB,F2.B,FUNCTION KEY NO.2,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0EC,F3.B,FUNCTION KEY NO.3,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0F0,PRG.B,PROGRAM CHANGE,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0F1,HY.B,HANDLE Y AXIS SELECT,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0F3,HZ.B,HANDLE Z AXIS SELECT,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
X,X0F4,H4.B,HANDLE 4 AXIS SELECT,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,10
X,X0F7,HX.B,HANDLE X AXIS SELECT,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,10
Y,Y002,MREV.M,MAGAZINE REVERSE,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_MAG_CCW_SOL,direct,also ATC_REV,,11
Y,Y003,MFWD.M,MAGAZINE FORWARD,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_MAG_CW_SOL,direct,also ATC_FWD,,11
Y,Y008,SFR.M,SPINDLE FORWARD,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,SPINDLE_FWD,direct,FR-SX FWD,,11
Y,Y009,SRU.M,SPINDLE REVERSE,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,SPINDLE_REV,direct,FR-SX REV,,11
Y,Y00A,SMR.M,SPINDLE MOTOR RUN,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,SPINDLE_ENA,direct,spindle motor run,,11
Y,Y00B,GSH.M,GEAR SHIFT HIGH,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,GEAR_HI_SOL,direct,RLY-1/SOL-13,,11
Y,Y00C,GSL.M,GEAR SHIFT LOW,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,GEAR_LO_SOL,direct,RLY-2/SOL-12,,11
Y,Y010,FCM.M,FLOOD COOLANT MOTOR,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,COOLANT_ON,direct,flood coolant pump motor,,11
Y,Y011,FCL.M,FLOOD COOLANT VALVE,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,COOLANT_ON,partial,flood VALVE is separate from pump — may need own output,,11
Y,Y012,THC.M,THROUGH HOLE COOLANT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,,11
Y,Y013,MCL.M,MIST COOLANT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_MIST_COOLANT,direct,,,11
